,PnL,Max_Drawdown,Sharpe_Ratio,Calmar_Ratio
train,0.028000680585740775,11.832346590712365,0.15107174525953668,0.0013522583017215593
test,-0.12899436314456758,5.408999039694305,-1.916902852985577,-0.021853533863494253
sp500,0.6525689358738301,0.3510877580048076,0.713402827854345,0.6541814549179954
